design,scenario_id,run_id,method,total_calls,ok_calls,throughput_rps,latency_p50_ms,latency_p95_ms,latency_p99_ms,grpc_non_ok_rate,terminal_jobs,terminal_throughput_rps
A_microservices,design_a_s_medium_submit_heavy,design_a_s_medium_submit_heavy-r02-fba80230d0,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,63,1.05
B_monolith,design_b_s_high_balanced,design_b_s_high_balanced-r00-62f5b20c11,SubmitJob,840,840,14.0,26.687,36.404,41.694,0.0,676,11.266667
B_monolith,design_b_s_high_balanced,design_b_s_high_balanced-r00-62f5b20c11,GetJobStatus,720,720,12.0,22.805,33.265,38.633,0.0,676,11.266667
B_monolith,design_b_s_high_balanced,design_b_s_high_balanced-r00-62f5b20c11,GetJobResult,600,600,10.0,27.792,37.526,42.258,0.0,676,11.266667
B_monolith,design_b_s_high_balanced,design_b_s_high_balanced-r00-62f5b20c11,CancelJob,240,240,4.0,22.599,34.094,38.246,0.0,676,11.266667
B_monolith,design_b_s_high_balanced,design_b_s_high_balanced-r00-62f5b20c11,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,676,11.266667
B_monolith,design_b_s_high_balanced,design_b_s_high_balanced-r01-03d4b09a87,SubmitJob,840,840,14.0,25.989,36.068,41.692,0.0,685,11.416667
B_monolith,design_b_s_high_balanced,design_b_s_high_balanced-r01-03d4b09a87,GetJobStatus,720,720,12.0,22.659,32.98,39.852,0.0,685,11.416667
B_monolith,design_b_s_high_balanced,design_b_s_high_balanced-r01-03d4b09a87,GetJobResult,600,600,10.0,28.118,38.153,42.863,0.0,685,11.416667
B_monolith,design_b_s_high_balanced,design_b_s_high_balanced-r01-03d4b09a87,CancelJob,240,240,4.0,22.642,33.043,36.709,0.0,685,11.416667
B_monolith,design_b_s_high_balanced,design_b_s_high_balanced-r01-03d4b09a87,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,685,11.416667
B_monolith,design_b_s_high_balanced,design_b_s_high_balanced-r02-78743b016e,SubmitJob,840,840,14.0,22.898,34.697,40.837,0.0,708,11.8
B_monolith,design_b_s_high_balanced,design_b_s_high_balanced-r02-78743b016e,GetJobStatus,720,720,12.0,18.945,31.0,36.83,0.0,708,11.8
B_monolith,design_b_s_high_balanced,design_b_s_high_balanced-r02-78743b016e,GetJobResult,600,600,10.0,24.71,37.041,41.498,0.0,708,11.8
B_monolith,design_b_s_high_balanced,design_b_s_high_balanced-r02-78743b016e,CancelJob,240,240,4.0,19.506,31.608,36.95,0.0,708,11.8
B_monolith,design_b_s_high_balanced,design_b_s_high_balanced-r02-78743b016e,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,708,11.8
B_monolith,design_b_s_high_poll_heavy,design_b_s_high_poll_heavy-r00-a32dc2caf9,SubmitJob,360,360,6.0,26.53,37.985,43.291,0.0,411,6.85
B_monolith,design_b_s_high_poll_heavy,design_b_s_high_poll_heavy-r00-a32dc2caf9,GetJobStatus,1080,1080,18.0,22.702,34.814,39.727,0.0,411,6.85
B_monolith,design_b_s_high_poll_heavy,design_b_s_high_poll_heavy-r00-a32dc2caf9,GetJobResult,840,840,14.0,27.93,38.888,43.234,0.0,411,6.85
B_monolith,design_b_s_high_poll_heavy,design_b_s_high_poll_heavy-r00-a32dc2caf9,CancelJob,120,120,2.0,21.705,32.378,36.741,0.0,411,6.85
B_monolith,design_b_s_high_poll_heavy,design_b_s_high_poll_heavy-r00-a32dc2caf9,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,411,6.85
B_monolith,design_b_s_high_poll_heavy,design_b_s_high_poll_heavy-r01-71a268d9ff,SubmitJob,360,360,6.0,25.224,35.619,39.135,0.0,392,6.533333
B_monolith,design_b_s_high_poll_heavy,design_b_s_high_poll_heavy-r01-71a268d9ff,GetJobStatus,1080,1080,18.0,22.021,34.001,37.384,0.0,392,6.533333
B_monolith,design_b_s_high_poll_heavy,design_b_s_high_poll_heavy-r01-71a268d9ff,GetJobResult,840,840,14.0,27.309,38.118,42.277,0.0,392,6.533333
B_monolith,design_b_s_high_poll_heavy,design_b_s_high_poll_heavy-r01-71a268d9ff,CancelJob,120,120,2.0,22.113,32.215,35.438,0.0,392,6.533333
B_monolith,design_b_s_high_poll_heavy,design_b_s_high_poll_heavy-r01-71a268d9ff,ListJobs,0,0,0.0,0.0,0.0,0.0,1.0,392,6.533333
B_monolith,design_b_s_high_poll_heavy,design_b_s_high_poll_heavy-r02-17bd4c8695,SubmitJob,360,360,6.0,26.605,40.149,51.877,0.0,417,6.95
B_monolith,design_b_s_high_poll_heavy,design_b_s_high_poll_heavy-r02-17bd4c8695,GetJobStatus,1080,1080,18.0,22.983,36.661,50.703,0.0,417,6.95
B_monolith,design_b_s_high_poll_heavy,design_b_s_high_poll_heavy-r02-17bd4c8695,GetJobResult,840,840,14.0,28.594,41.004,52.17,0.0,417,6.95
